duration,director_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,user_critic_ratio
143.0,0.0,304360277.0,Skyfall,522030,2039,0.0,UK,G,200000000.0,2012.0,7.8,80000,0.5006675567423231
135.0,0.0,373377893.0,Spider-Man 2,411164,43388,1.0,USA,G,200000000.0,2004.0,7.3,0,0.23023791250959325
195.0,1000.0,408992272.0,Iron Man 3,557489,30426,3.0,USA,G,200000000.0,2013.0,7.2,95000,0.5122156697556866
108.0,13000.0,334185206.0,Alice in Wonderland,306320,79957,0.0,USA,PG,200000000.0,2010.0,6.5,24000,0.6127717391304348
104.0,420.0,234360014.0,X-Men: The Last Stand,383427,21714,0.0,Canada,G,210000000.0,2006.0,6.8,0,
104.0,37.0,268488329.0,Monsters University,235025,14863,0.0,USA,G,200000000.0,2013.0,7.3,44000,
150.0,0.0,402076689.0,Transformers: Revenge of the Fallen,323207,3218,0.0,USA,G,200000000.0,2009.0,6.0,0,0.2543432939541348
165.0,0.0,245428137.0,Transformers: Age of Extinction,242420,3988,2.0,USA,G,210000000.0,2014.0,5.7,56000,
130.0,0.0,234903076.0,Oz the Great and Powerful,175409,73441,4.0,USA,PG,215000000.0,2013.0,6.4,60000,
142.0,464.0,202853933.0,The Amazing Spider-Man 2,321227,28631,0.0,USA,G,200000000.0,2014.0,6.7,41000,
125.0,364.0,172051787.0,TRON: Legacy,264183,25550,0.0,USA,PG,170000000.0,2010.0,6.8,30000,
106.0,487.0,191450875.0,Cars 2,101178,4482,0.0,USA,G,200000000.0,2011.0,6.3,10000,
123.0,258.0,116593191.0,Green Lantern,223393,17657,2.0,USA,G,200000000.0,2011.0,5.6,24000,
103.0,125.0,414984497.0,Toy Story 3,544884,19085,3.0,USA,G,200000000.0,2010.0,8.3,30000,0.6180081855388813
118.0,368.0,125320003.0,Terminator Salvation,286095,27468,0.0,USA,G,200000000.0,2009.0,6.6,0,
140.0,0.0,350034110.0,Furious 7,278232,79150,0.0,USA,G,190000000.0,2015.0,7.2,94000,0.6453576864535768
123.0,395.0,202351611.0,World War Z,465019,32392,0.0,USA,G,190000000.0,2013.0,7.0,129000,
149.0,0.0,233914986.0,X-Men: Days of Future Past,514125,91434,7.0,USA,G,200000000.0,2014.0,8.0,82000,
132.0,14000.0,228756232.0,Star Trek Into Darkness,395573,21411,0.0,USA,G,190000000.0,2013.0,7.8,92000,
114.0,0.0,65171860.0,Jack the Giant Slayer,106416,1766,1.0,USA,G,195000000.0,2013.0,6.3,22000,
143.0,1000.0,144812796.0,The Great Gatsby,362912,29770,4.0,Other,G,105000000.0,2013.0,7.3,115000,
116.0,179.0,90755643.0,Prince of Persia: The Sands of Time,222403,16149,2.0,USA,G,200000000.0,2010.0,6.6,23000,
131.0,0.0,101785482.0,Pacific Rim,381148,19166,0.0,USA,G,190000000.0,2013.0,7.0,83000,
154.0,0.0,352358779.0,Transformers: Dark of the Moon,326180,2593,2.0,USA,G,195000000.0,2011.0,6.3,46000,0.4760845383759733
122.0,14000.0,317011114.0,Indiana Jones and the Kingdom of the Crystal Skull,333847,14959,2.0,USA,G,185000000.0,2008.0,6.2,5000,0.22882181110029212
93.0,56.0,237282182.0,Brave,273556,5005,0.0,USA,PG,185000000.0,2012.0,7.2,39000,
122.0,681.0,130468626.0,Star Trek Beyond,53607,1327,4.0,USA,G,185000000.0,2016.0,7.5,30000,
98.0,475.0,223806889.0,WALL·E,718837,2975,0.0,USA,G,180000000.0,2008.0,8.4,16000,
91.0,420.0,140080850.0,Rush Hour 3,121084,1125,2.0,USA,G,140000000.0,2007.0,6.2,0,
158.0,776.0,166112167.0,2012,283418,2144,0.0,USA,G,200000000.0,2009.0,5.8,13000,
96.0,0.0,137850096.0,A Christmas Carol,72809,48878,0.0,USA,PG,200000000.0,2009.0,6.8,0,
127.0,0.0,47375327.0,Jupiter Ascending,139593,47334,1.0,USA,G,176000000.0,2015.0,5.4,44000,
110.0,282.0,124051759.0,The Legend of Tarzan,42372,21175,2.0,USA,G,180000000.0,2016.0,6.6,29000,
150.0,80.0,291709845.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",286506,1317,5.0,USA,PG,180000000.0,2005.0,6.9,0,0.19412166780587833
144.0,0.0,154985087.0,X-Men: Apocalypse,148379,49684,6.0,USA,G,178000000.0,2016.0,7.3,54000,
152.0,22000.0,533316061.0,The Dark Knight,1676169,57802,0.0,USA,G,185000000.0,2008.0,9.0,37000,0.13820441397043068
96.0,0.0,292979556.0,Up,665575,2635,1.0,USA,PG,175000000.0,2009.0,8.3,27000,0.5795454545454546
94.0,11.0,198332128.0,Monsters vs. Aliens,114553,2579,2.0,USA,PG,175000000.0,2009.0,6.5,0,
126.0,4000.0,318298180.0,Iron Man,696338,39252,3.0,USA,G,140000000.0,2008.0,7.9,10000,0.4606635071090047
126.0,17000.0,73820094.0,Hugo,245333,36017,0.0,USA,PG,170000000.0,2011.0,7.5,42000,
106.0,188.0,113745408.0,Wild Wild West,129601,15870,2.0,USA,G,170000000.0,1999.0,4.8,0,
112.0,357.0,102176165.0,The Mummy: Tomb of the Dragon Emperor,117927,9131,2.0,USA,G,145000000.0,2008.0,5.2,0,
123.0,452.0,161087183.0,Suicide Squad,118992,11287,8.0,USA,G,175000000.0,2016.0,6.9,80000,
96.0,293.0,100289690.0,Evan Almighty,115099,108016,0.0,USA,PG,175000000.0,2007.0,5.4,2000,
113.0,218.0,100189501.0,Edge of Tomorrow,431620,12652,1.0,USA,G,178000000.0,2014.0,7.9,77000,
176.0,58.0,88246220.0,Waterworld,144337,1004,0.0,USA,G,175000000.0,1995.0,6.1,0,
118.0,208.0,150167630.0,G.I. Joe: The Rise of Cobra,174578,26683,4.0,USA,G,175000000.0,2009.0,5.8,0,
95.0,0.0,356454367.0,Inside Out,345198,2944,1.0,USA,PG,175000000.0,2015.0,8.3,118000,0.6934023285899095
106.0,4000.0,362645141.0,The Jungle Book,106072,32921,0.0,UK,PG,175000000.0,2016.0,7.8,65000,0.9296482412060302
124.0,4000.0,312057433.0,Iron Man 2,522371,48638,4.0,USA,G,200000000.0,2010.0,7.0,18000,0.6265560165975104
132.0,274.0,155111815.0,Snow White and the Huntsman,228554,72881,0.0,USA,G,170000000.0,2012.0,6.1,53000,
97.0,171.0,241407328.0,Maleficent,252257,15516,2.0,USA,PG,180000000.0,2014.0,7.0,89000,
130.0,198.0,208543795.0,Dawn of the Planet of the Apes,317542,14363,0.0,USA,G,170000000.0,2014.0,7.6,45000,
128.0,47.0,38297305.0,47 Ronin,116994,20965,2.0,USA,G,175000000.0,2013.0,6.3,35000,
136.0,94.0,259746958.0,Captain America: The Winter Soldier,496749,36188,1.0,USA,G,170000000.0,2014.0,7.8,55000,
93.0,31.0,238371987.0,Shrek Forever After,138661,4628,2.0,USA,PG,165000000.0,2010.0,6.4,0,
130.0,663.0,93417865.0,Tomorrowland,128306,5046,2.0,USA,PG,190000000.0,2015.0,6.5,37000,
102.0,38.0,222487711.0,Big Hero 6,279093,2963,0.0,USA,PG,165000000.0,2014.0,7.9,41000,
101.0,66.0,189412677.0,Wreck-It Ralph,272534,4451,1.0,USA,PG,165000000.0,2012.0,7.8,40000,
100.0,0.0,665426.0,The Polar Express,120798,16264,0.0,USA,G,165000000.0,2004.0,6.6,10000,
120.0,776.0,102315545.0,Independence Day: Resurgence,58137,3233,0.0,USA,G,165000000.0,2016.0,5.5,67000,
98.0,255.0,217387997.0,How to Train Your Dragon,485430,20453,0.0,USA,PG,165000000.0,2010.0,8.2,33000,
109.0,84.0,150350192.0,Terminator 3: Rise of the Machines,305340,1769,0.0,USA,R,200000000.0,2003.0,6.4,0,
121.0,571.0,333130696.0,Guardians of the Galaxy,682155,32438,3.0,USA,G,170000000.0,2014.0,8.1,96000,0.5952597994530537
169.0,22000.0,187991439.0,Interstellar,928227,31488,1.0,USA,G,165000000.0,2014.0,8.6,349000,
148.0,22000.0,292568851.0,Inception,1468200,81115,0.0,USA,G,160000000.0,2010.0,8.8,175000,0.22904031394934
182.0,0.0,303001229.0,The Hobbit: An Unexpected Journey,637246,9152,0.9002693431784723,USA,G,180000000.0,2012.0,7.9,166000,0.4718361375274323
106.0,357.0,144512310.0,The Fast and the Furious,272223,45327,2.0,USA,G,38000000.0,2001.0,6.7,14000,0.18927125506072875
166.0,21000.0,127490802.0,The Curious Case of Benjamin Button,459346,13333,2.0,USA,G,150000000.0,2008.0,7.8,23000,
132.0,905.0,146405371.0,X-Men: First Class,518537,50983,3.0,USA,G,160000000.0,2011.0,7.8,54000,
137.0,508.0,281666058.0,The Hunger Games: Mockingjay - Part 2,166137,81385,1.0,USA,G,160000000.0,2015.0,6.6,38000,1.0156657963446476
109.0,226.0,63143812.0,The Sorcerer's Apprentice,124185,13388,0.0,USA,PG,150000000.0,2010.0,6.1,11000,
98.0,249.0,60655503.0,Poseidon,82380,92456,0.0,USA,G,160000000.0,2006.0,5.6,0,
113.0,33.0,76846624.0,Alice Through the Looking Glass,21352,80806,1.0,USA,PG,170000000.0,2016.0,6.4,30000,
93.0,50.0,320706665.0,Shrek the Third,211971,4705,2.0,USA,PG,160000000.0,2007.0,6.1,0,0.696319018404908
123.0,0.0,46978995.0,Warcraft,111609,5505,0.0,USA,G,160000000.0,2016.0,7.3,89000,
126.0,230.0,89732035.0,Terminator Genisys,188457,38873,2.0,USA,G,155000000.0,2015.0,6.6,82000,
113.0,150.0,104383624.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,106446,764,4.0,USA,PG,155000000.0,2010.0,6.3,11000,
184.0,0.0,198539855.0,Pearl Harbor,254111,5401,0.0,USA,G,140000000.0,2001.0,6.1,0,
144.0,0.0,318759914.0,Transformers,513158,2333,0.0,USA,G,150000000.0,2007.0,7.1,8000,0.2222222222222222
206.0,0.0,34293771.0,Alexander,138863,24598,3.0,Germany,R,155000000.0,2004.0,5.5,0,
138.0,282.0,292000866.0,Harry Potter and the Order of the Phoenix,355137,33433,3.0,UK,G,150000000.0,2007.0,7.5,0,0.29693140794223827
157.0,179.0,289994397.0,Harry Potter and the Goblet of Fire,385670,53413,1.0,UK,G,150000000.0,2005.0,7.6,0,0.15559071729957805
102.0,532.0,227946274.0,Hancock,343648,21584,0.0,USA,G,150000000.0,2008.0,6.4,0,
104.0,508.0,256386216.0,I Am Legend,530870,13076,0.0,USA,G,150000000.0,2007.0,7.2,11000,0.22859164897381457
115.0,13000.0,206456431.0,Charlie and the Chocolate Factory,320284,57844,3.0,USA,PG,150000000.0,2005.0,6.7,0,
111.0,663.0,206435493.0,Ratatouille,473887,4764,0.0,USA,G,150000000.0,2007.0,8.0,10000,
128.0,22000.0,205343774.0,Batman Begins,980946,59558,0.0,USA,G,150000000.0,2005.0,8.3,15000,
89.0,35.0,179982968.0,Madagascar: Escape 2 Africa,146019,3285,0.0,USA,PG,150000000.0,2008.0,6.7,0,
105.0,189.0,177243721.0,Night at the Museum: Battle of the Smithsonian,130272,54039,2.0,USA,PG,150000000.0,2009.0,5.9,2000,
119.0,151.0,179883016.0,X-Men Origins: Wolverine,361924,40054,0.0,USA,G,150000000.0,2009.0,6.7,0,
129.0,0.0,139259759.0,The Matrix Revolutions,364948,1062,0.0,Other,R,150000000.0,2003.0,6.7,0,
102.0,69.0,400736600.0,Frozen,421658,2582,0.0,USA,PG,150000000.0,2013.0,7.6,58000,0.4491150442477876
138.0,0.0,281492479.0,The Matrix Reloaded,421818,534,0.0,USA,R,150000000.0,2003.0,7.2,0,0.09860164933667981
112.0,230.0,206360018.0,Thor: The Dark World,414070,59803,3.0,USA,G,170000000.0,2013.0,7.1,63000,
120.0,750.0,153629485.0,Mad Max: Fury Road,552503,40025,0.0,Other,R,150000000.0,2015.0,8.1,191000,
146.0,2000.0,133375846.0,Angels & Demons,207839,16948,2.0,USA,G,150000000.0,2009.0,6.7,0,
115.0,0.0,181015141.0,Thor,536314,60059,1.0,USA,G,150000000.0,2011.0,7.0,63000,
96.0,59.0,114053579.0,Bolt,146766,20007,0.0,USA,PG,150000000.0,2008.0,6.9,0,
88.0,12.0,119420252.0,G-Force,33042,2217,0.0,USA,PG,150000000.0,2009.0,5.1,0,
99.0,473.0,83640426.0,Wrath of the Titans,152826,16184,0.0,USA,G,150000000.0,2012.0,5.8,19000,
113.0,13000.0,79711678.0,Dark Shadows,199039,80849,7.0,USA,G,100000000.0,2012.0,6.2,82000,
131.0,188.0,195000874.0,Mission: Impossible - Rogue Nation,232187,21840,0.0,Other,G,150000000.0,2015.0,7.4,47000,
119.0,394.0,61937495.0,The Wolfman,89442,13071,0.0,USA,R,150000000.0,2010.0,5.8,0,
91.0,58.0,126597121.0,Bee Movie,105902,6576,0.0,USA,PG,150000000.0,2007.0,6.2,0,
90.0,90.0,165230261.0,Kung Fu Panda 2,182718,21015,0.0,USA,PG,150000000.0,2011.0,7.3,20000,
103.0,0.0,131564731.0,The Last Airbender,118951,2857,0.0,USA,PG,150000000.0,2010.0,4.2,18000,
124.0,14000.0,133382309.0,Mission: Impossible III,256695,34817,0.0,USA,G,150000000.0,2006.0,6.9,0,
131.0,776.0,73103784.0,White House Down,164238,18204,2.0,USA,G,150000000.0,2013.0,6.4,33000,
88.0,25.0,21379315.0,Mars Needs Moms,17590,2652,0.0,USA,PG,150000000.0,2011.0,5.4,0,
85.0,42.0,64459316.0,Flushed Away,85086,35161,0.0,UK,PG,149000000.0,2006.0,6.7,0,
111.0,456.0,34964818.0,Pan,39956,21393,4.0,USA,PG,150000000.0,2015.0,5.8,24000,
92.0,50.0,111505642.0,Mr. Peabody & Sherman,47900,5810,2.0,USA,PG,145000000.0,2014.0,6.9,11000,
196.0,249.0,133228348.0,Troy,381672,17944,2.0,USA,R,175000000.0,2004.0,7.2,0,
93.0,35.0,216366733.0,Madagascar 3: Europe's Most Wanted,119213,2444,0.0,USA,PG,145000000.0,2012.0,6.9,17000,
133.0,93.0,160201106.0,Die Another Day,169914,2538,0.0,UK,G,142000000.0,2002.0,6.1,0,
116.0,176.0,118099659.0,Ghostbusters,69757,2097,4.0,USA,G,144000000.0,2016.0,5.5,62000,
153.0,0.0,201573391.0,Armageddon,322395,26029,0.0,USA,G,140000000.0,1998.0,6.6,11000,
88.0,188.0,190418803.0,Men in Black II,270207,14823,2.0,USA,G,140000000.0,2002.0,6.1,2000,
115.0,0.0,82161969.0,Beowulf,142440,31523,1.0,USA,G,150000000.0,2007.0,6.3,3000,
95.0,5.0,143523463.0,Kung Fu Panda 3,64322,36095,0.0,USA,PG,145000000.0,2016.0,7.2,24000,
133.0,663.0,209364921.0,Mission: Impossible - Ghost Protocol,365104,21768,3.0,USA,G,145000000.0,2011.0,7.4,35000,
97.0,52.0,103400692.0,Rise of the Guardians,123553,20645,0.0,USA,PG,145000000.0,2012.0,7.3,25000,
90.0,23.0,110332737.0,Fun with Dick and Jane,110788,1997,1.0,USA,G,100000000.0,2005.0,6.1,2000,
154.0,380.0,111110575.0,The Last Samurai,317166,11945,1.0,USA,R,140000000.0,2003.0,7.7,0,
150.0,0.0,65007045.0,Exodus: Gods and Kings,128682,26490,0.0,UK,G,140000000.0,2014.0,6.1,51000,
127.0,14000.0,257704099.0,Star Trek,504419,39284,0.0,USA,G,150000000.0,2009.0,8.0,19000,0.33226427196921104
121.0,0.0,403706375.0,Spider-Man,544665,40484,0.0,USA,G,139000000.0,2002.0,7.3,5000,0.14463220675944333
102.0,255.0,176997107.0,How to Train Your Dragon 2,221128,23378,5.0,USA,PG,145000000.0,2014.0,7.9,46000,
126.0,295.0,31141074.0,Gods of Egypt,51892,19769,4.0,USA,G,140000000.0,2016.0,5.5,24000,
121.0,357.0,31704416.0,Stealth,45455,2705,0.0,USA,G,135000000.0,2005.0,5.0,0,
215.0,0.0,107503316.0,Watchmen,392474,2530,1.0,USA,R,130000000.0,2009.0,7.7,18000,
127.0,503.0,129734803.0,Lethal Weapon 4,127497,6171,2.0,USA,R,140000000.0,1998.0,6.6,0,
138.0,0.0,132122995.0,Hulk,212106,1814,0.0,USA,G,137000000.0,2003.0,5.7,0,
122.0,209.0,122512052.0,G.I. Joe: Retaliation,146352,31958,6.0,USA,G,130000000.0,2013.0,5.8,42000,
124.0,42.0,68642452.0,Sahara,77673,13073,3.0,UK,G,130000000.0,2005.0,6.0,0,
106.0,6.0,32131830.0,Final Fantasy: The Spirits Within,72259,15015,1.0,USA,G,137000000.0,2001.0,6.4,0,
124.0,394.0,176636816.0,Captain America: The First Avenger,508818,19761,0.0,USA,G,140000000.0,2011.0,6.9,46000,
128.0,150.0,126930660.0,The World Is Not Enough,157519,2037,2.0,UK,G,135000000.0,1999.0,6.4,2000,
138.0,608.0,93926386.0,Master and Commander: The Far Side of the World,168207,1205,1.0,USA,G,150000000.0,2003.0,7.4,0,
115.0,386.0,292298923.0,The Twilight Saga: Breaking Dawn - Part 2,185394,59177,3.0,USA,G,120000000.0,2012.0,5.5,65000,0.9787234042553191
100.0,750.0,63992328.0,Happy Feet 2,32399,62644,0.0,Other,PG,135000000.0,2011.0,5.9,0,
135.0,255.0,134518390.0,The Incredible Hulk,326286,5811,0.0,USA,G,150000000.0,2008.0,6.8,0,
117.0,14000.0,52792307.0,The BFG,12572,1950,0.0,UK,PG,140000000.0,2016.0,6.8,27000,
156.0,0.0,183635922.0,The Revenant,406020,57108,0.0,USA,R,135000000.0,2015.0,8.1,190000,
96.0,13.0,83024900.0,Turbo,62424,17416,0.0,USA,PG,135000000.0,2013.0,6.5,13000,
107.0,563.0,123207194.0,Rango,183208,43291,0.0,USA,PG,135000000.0,2011.0,7.2,26000,
92.0,35.0,83348920.0,Penguins of Madagascar,60230,19963,0.0,USA,PG,132000000.0,2014.0,6.7,11000,
115.0,521.0,227137090.0,The Bourne Ultimatum,491077,17369,0.0,USA,G,110000000.0,2007.0,8.1,0,0.401219512195122
92.0,54.0,215395021.0,Kung Fu Panda,307029,12754,0.0,USA,PG,130000000.0,2008.0,7.6,6000,
117.0,235.0,180191634.0,Ant-Man,313866,5730,6.0,USA,G,130000000.0,2015.0,7.4,61000,
146.0,508.0,424645577.0,The Hunger Games: Catching Fire,498397,49355,1.0,USA,G,130000000.0,2013.0,7.6,82000,0.7110481586402266
94.0,12.0,177343675.0,Home,70121,17883,0.0,USA,PG,135000000.0,2015.0,6.7,26000,
116.0,14000.0,234277056.0,War of the Worlds,334345,12758,0.0,USA,G,132000000.0,2005.0,6.5,0,0.14629697190806276
147.0,0.0,138396624.0,Bad Boys II,178126,12954,1.0,USA,R,130000000.0,2003.0,6.6,0,
90.0,50.0,149234747.0,Puss in Boots,114287,5046,0.0,USA,PG,130000000.0,2011.0,6.7,16000,
101.0,176.0,118311368.0,Salt,245621,12406,1.0,USA,G,110000000.0,2010.0,6.4,23000,
138.0,0.0,101160529.0,Noah,200022,32355,2.0,USA,G,125000000.0,2014.0,5.8,71000,
107.0,14000.0,77564037.0,The Adventures of Tintin,177383,4631,1.0,USA,PG,135000000.0,2011.0,7.4,44000,
142.0,0.0,249358727.0,Harry Potter and the Prisoner of Azkaban,382255,33284,3.0,UK,PG,130000000.0,2004.0,7.8,11000,0.18218085106382978
165.0,1000.0,49551662.0,Australia,102338,921,0.0,Other,G,130000000.0,2008.0,6.6,0,
100.0,0.0,60522097.0,After Earth,158720,14168,0.0,USA,G,130000000.0,2013.0,4.9,37000,
82.0,0.0,137748063.0,Dinosaur,38438,2945,1.0,USA,PG,127500000.0,2000.0,6.5,0,
98.0,189.0,113733726.0,Night at the Museum: Secret of the Tomb,67223,53587,7.0,USA,PG,127000000.0,2014.0,6.2,11000,
95.0,96.0,148337537.0,Megamind,172754,46120,3.0,USA,PG,130000000.0,2010.0,7.3,13000,
159.0,0.0,317557891.0,Harry Potter and the Sorcerer's Stone,444683,13191,4.0,UK,PG,125000000.0,2001.0,7.5,16000,0.16422660725652452
96.0,124.0,33592415.0,R.I.P.D.,91640,31549,2.0,USA,G,130000000.0,2013.0,5.6,20000,
143.0,563.0,305388685.0,Pirates of the Caribbean: The Curse of the Black Pearl,809474,48184,3.0,USA,G,140000000.0,2003.0,8.1,10000,0.1282536677709418
123.0,508.0,337103873.0,The Hunger Games: Mockingjay - Part 1,305008,81385,1.0,USA,G,125000000.0,2014.0,6.7,52000,0.6818950930626058
174.0,2000.0,217536138.0,The Da Vinci Code,314253,16008,2.0,USA,G,125000000.0,2006.0,6.6,0,
101.0,107.0,131536019.0,Rio 2,58498,1031,0.0,USA,G,103000000.0,2014.0,6.4,0,
134.0,0.0,214948780.0,X-Men 2,405973,20952,4.0,Canada,G,110000000.0,2003.0,7.5,0,0.2739336492890995
132.0,681.0,209805005.0,Fast Five,284792,55345,3.0,USA,G,125000000.0,2011.0,7.3,54000,
129.0,0.0,186830669.0,Sherlock Holmes: A Game of Shadows,338635,22403,2.0,USA,G,125000000.0,2011.0,7.5,39000,
106.0,255.0,163192114.0,Clash of the Titans,229679,18003,0.0,USA,G,125000000.0,2010.0,5.8,15000,
113.0,719.0,119412921.0,Total Recall,240241,1441,0.0,USA,R,65000000.0,1990.0,7.5,0,
102.0,323.0,32694788.0,The 13th Warrior,101411,1815,1.0,USA,R,85000000.0,1999.0,6.6,0,
135.0,209.0,113165635.0,The Bourne Legacy,229823,12175,0.0,USA,G,125000000.0,2012.0,6.7,31000,
125.0,541.0,107285004.0,Batman & Robin,189855,2699,3.0,USA,G,125000000.0,1997.0,3.7,0,
110.0,2000.0,260031035.0,How the Grinch Stole Christmas,141414,4146,0.0,USA,PG,123000000.0,2000.0,6.0,0,0.3630705394190871
124.0,776.0,186739919.0,The Day After Tomorrow,333248,20553,0.0,USA,G,125000000.0,2004.0,6.4,19000,
123.0,610.0,215397307.0,Mission: Impossible II,242188,11930,0.0,USA,G,125000000.0,2000.0,6.1,0,
130.0,249.0,182618434.0,The Perfect Storm,133076,2684,0.0,USA,G,140000000.0,2000.0,6.4,0,
92.0,167.0,131920333.0,Fantastic 4: Rise of the Silver Surfer,213275,15302,3.0,USA,PG,130000000.0,2007.0,5.6,0,
127.0,0.0,124976634.0,Life of Pi,440084,2121,0.0,USA,PG,120000000.0,2012.0,8.0,122000,
123.0,160.0,115802596.0,Ghost Rider,182661,14017,1.0,USA,G,110000000.0,2007.0,5.2,0,
123.0,521.0,108521835.0,Jason Bourne,40123,13752,0.0,UK,G,120000000.0,2016.0,7.1,31000,
107.0,368.0,100685880.0,Charlie's Angels: Full Throttle,100821,4046,0.0,USA,G,120000000.0,2003.0,4.8,0,
124.0,0.0,126464904.0,Prometheus,456260,24098,0.0,USA,R,130000000.0,2012.0,7.0,97000,
77.0,50.0,64736114.0,Stuart Little 2,36471,2682,0.0,USA,PG,120000000.0,2002.0,5.4,459,
109.0,662.0,93050117.0,Elysium,338087,17689,0.0,USA,R,115000000.0,2013.0,6.6,61000,
134.0,123.0,57637485.0,The Chronicles of Riddick,183909,17159,0.0,USA,G,105000000.0,2004.0,6.7,0,
117.0,294.0,58607007.0,RoboCop,182899,14161,0.0,USA,G,100000000.0,2014.0,6.2,60000,
135.0,0.0,43929341.0,Speed Racer,57873,902,0.0,USA,PG,120000000.0,2008.0,6.1,0,
121.0,274.0,30212620.0,How Do You Know,35066,993,4.0,USA,G,120000000.0,2010.0,5.3,0,
117.0,446.0,76418654.0,Knight and Day,148280,12731,0.0,USA,G,117000000.0,2010.0,6.3,11000,
124.0,364.0,89021735.0,Oblivion,387436,22004,0.0,USA,G,120000000.0,2013.0,7.0,71000,
140.0,0.0,380262555.0,Star Wars: Episode III - Revenge of the Sith,520104,44042,4.0,USA,G,113000000.0,2005.0,7.6,10000,0.10925136944613512
142.0,0.0,310675583.0,Star Wars: Episode II - Attack of the Clones,464310,42990,3.0,USA,PG,115000000.0,2002.0,6.7,0,0.080773606370876
92.0,0.0,289907418.0,"Monsters, Inc.",585659,15013,0.0,USA,G,115000000.0,2001.0,8.1,0,0.42158516020236086
138.0,446.0,132550960.0,The Wolverine,328067,23755,1.0,USA,G,120000000.0,2013.0,6.7,68000,
